UserID,ProductID,Recommendation1,Recommendation2,Recommendation3,Recommendation4,Recommendation5
A1JIOBEWHVV8MC,B000QBPWKQ,B00004TWMF,B00009W3I2,B0000AT9MY,B0066D065E,B002F6GROK
A1JIOBEWHVV8MC,B000POFA1A,B0002JFOFK,B00006JPWY,B000LTLGMQ,B000TXZ9S6,B000YYTXTG
A1JIOBEWHVV8MC,B0004I163S,B000GL6M50,B001SH1AYY,B00EIQUYC6,B000LRHST8,B006BIJ6XC
A1JIOBEWHVV8MC,B000Z9PGFA,B000ASTKWQ,B000CSLIP6,B000SOEFEK,B000I3C624,B002EVP7KG
A1JIOBEWHVV8MC,B000U10X10,B00GUOLA54,B002PX9BX2,B002DQAL9Y,B000R8VKRW,B0000A1VTK
A1JIOBEWHVV8MC,B00005134L,B000JKK146,B0080BRSTM,B00200JZCC,B000SSP6Z8,B000NWKHP8
A1JIOBEWHVV8MC,B000LNFZVA,B00005T3FU,B00FLZDTD4,B00007LA29,B006DKOGVU,B00004TWMF
A1JIOBEWHVV8MC,B000K50HH6,B000UOOIEA,B00005OMY8,B002WHU9NW,B0028ACYGI,B000ZJ095M
A1JIOBEWHVV8MC,B000UFQYFU,B0000U98MQ,B0007WQ92O,B009P7QIBE,B00698W0Z0,B006A4DUS4
A1JIOBEWHVV8MC,B000G62F88,B000IIBHGK,B000VHIS38,B0001J3Q92,B00262IDRM,B000KL35DI
A1JIOBEWHVV8MC,B000FKP4ME,B000A2AL1G,B003FZA1MY,B000RXZW3K,B006NSIJ92,B00EPNPC5Q
A1JIOBEWHVV8MC,B00005KJUG,B000HHHT5A,B00EFE9OAE,B000W4AF3G,B00ENNUWO4,B00E1MY19O
A1JIOBEWHVV8MC,B000AORR3Y,B000VQYJ1O,B000A6NZBK,B00039RZ2E,B0025TAZ18,B002UCF3GW
A1JIOBEWHVV8MC,B000PCY5SQ,B002ISHMZS,B000RORFWK,B0067GVA1O,B0001B1AJS,B00080H63Q
A1JIOBEWHVV8MC,B000BWZ33G,B000ANF8D6,B000MLGNN0,B002NDKSEU,B0021AEF1M,B006AZROH6
A1JIOBEWHVV8MC,B000WMW7KC,B00EPMUCMK,B007WA71BM,B00EJIFUJK,B00017LSDU,B000IBHZXQ
A1JIOBEWHVV8MC,B000CPYWI4,B002JKU18A,B000XQOLN8,B00005O7GY,B001W0Y3UU,B00009WBG1
A1JIOBEWHVV8MC,B000A3ZGM4,B006HYLYR6,B006KGOY3M,B000YI61P6,B00019AA5K,B00ETC7H4M
A1JIOBEWHVV8MC,B000QYZZFK,B006M15D8U,B000F4COP0,B002TEQK9U,B0000UV0HW,B000V614PI
A1JIOBEWHVV8MC,B000GB1NUO,B0000206CY,B000DZDNOM,B000UFQYFU,B0000AT9MY,B002LBOC8C
A1JIOBEWHVV8MC,B000KBH1D8,B00008ZPGX,B0026AMEBK,B006KYXHBE,B000M57V2I,B00013J86I
A1JIOBEWHVV8MC,B000S5KJ8K,B000WCP1YQ,B000EHULQW,B000XQ07TK,B0028AYDTO,B0053DKXTM
A1JIOBEWHVV8MC,B000HCN3J6,B001K9NB4W,B000E453LS,B0022VJZDS,B002G1NZJO,B000V2FJAS
A1JIOBEWHVV8MC,B000XOQ084,B000MNB8WO,B003X8JFZ2,B00698W0Z0,B006NSIJ92,B00005T3FU
A1JIOBEWHVV8MC,B000S5D99Q,B001SPVUBE,B000LNFZVA,B000EUFJXE,B0015DD4DG,B007K5DRN0
A1JIOBEWHVV8MC,B000MSZQI6,B0007XE9R0,B0064PZZFU,B000KYE43A,B000G6M6GE,B00009UTLU
A1JIOBEWHVV8MC,B0002T5YB4,B002LM2760,B00005134L,B000V614PI,B00EVZDW00,B006QY5TIC
A1JIOBEWHVV8MC,B000U3EDVY,B000B5U9UK,B0022S50IA,B00E0DUR6K,B000F7JB6C,B0004RDCSG
A1JIOBEWHVV8MC,B0007R4O6C,B000850C28,B000LF2296,B000JHH88Q,B00C0K43EW,B000YDDI34
A1JIOBEWHVV8MC,B0000A55F7,B00246NEAQ,B000S6AL5U,B000S5W7BC,B000LXXPS0,B0028PPW3K
A1JIOBEWHVV8MC,B000ICLGNA,B00008NUZ0,B000Z3LRYU,B002W5OQLA,B002JB7Z2O,B002W8IBRW
